LEVEL,AREA,YEAR,MONTH,MARKET_SEGMENT,FLIGHT_TYPE,FLIGHT_PHASE,NB_FLIGHTS,NOX_KG,SOX_KG,CO2_KG,DATE
NETWORK,ECAC,2019,2,mainline,A,cruise,45478,8552383.99000001,445102.6600000042,1669258300.0000005,2019-02-01
NETWORK,ECAC,2019,2,mainline,D,cruise,45285,12840048.610000018,549358.049999999,2060221999.9999888,2019-02-01
NETWORK,ECAC,2019,2,mainline,D,descent,45285,516.8700000000001,39.71,149200.0,2019-02-01
NETWORK,ECAC,2019,2,mainline,O,descent,8524,285.38,23.27,87300.0,2019-02-01
NETWORK,ECAC,2019,2,mainline,A,descent,45478,237781.7099999999,16846.389999999992,63194600.00000015,2019-02-01
NETWORK,ECAC,2019,2,mainline,I,descent,150814,325246.6099999993,27045.31,101448400.00000009,2019-02-01
NETWORK,ECAC,2019,2,mainline,I,climb,150814,1127368.8299999994,39049.13999999988,146446200.0,2019-02-01
NETWORK,ECAC,2019,2,mainline,O,climb,8524,1549.9,56.42000000000001,211700.0,2019-02-01
NETWORK,ECAC,2019,2,mainline,A,climb,45478,439.50000000000006,14.439999999999998,53999.99999999999,2019-02-01
NETWORK,ECAC,2019,2,mainline,D,climb,45285,1155320.809999997,30265.51000000003,113511299.99999994,2019-02-01
NETWORK,ECAC,2019,2,mainline,I,taxi-in,150814,57225.879999999954,10681.31000000009,40080399.9999996,2019-02-01
NETWORK,ECAC,2019,2,mainline,D,taxi-in,45285,27.62,5.26,19800.0,2019-02-01
NETWORK,ECAC,2019,2,mainline,A,taxi-in,45478,53184.46999999981,9119.270000000008,34218600.00000005,2019-02-01
NETWORK,ECAC,2019,2,mainline,I,taxi-out,150814,114690.90000000047,21212.709999999985,79488400.00000009,2019-02-01
NETWORK,ECAC,2019,2,mainline,D,taxi-out,45285,105448.05000000054,18011.44999999997,67551500.00000009,2019-02-01
NETWORK,ECAC,2019,2,mainline,O,taxi-out,8524,72.16999999999999,13.39,50999.99999999999,2019-02-01
NETWORK,ECAC,2019,2,mainline,A,taxi-out,45478,39.59,7.85,28700.000000000004,2019-02-01
NETWORK,ECAC,2019,2,other,O,cruise,1243,359074.4000000001,14800.550000000005,55513199.99999986,2019-02-01
NETWORK,ECAC,2019,2,other,A,cruise,4724,385319.4399999987,22814.06000000005,85590100.00000013,2019-02-01
NETWORK,ECAC,2019,2,other,I,cruise,29376,707326.9200000693,43576.38999999865,163575600.00001454,2019-02-01
NETWORK,ECAC,2019,2,other,D,cruise,4629,549649.8199999996,27462.40000000011,103025100.00000009,2019-02-01
NETWORK,ECAC,2019,2,other,D,descent,4629,1443.5999999999983,298.7200000000001,1122100.0,2019-02-01
NETWORK,ECAC,2019,2,other,I,descent,29376,49163.91999999972,7020.850000000213,26392599.999999706,2019-02-01
NETWORK,ECAC,2019,2,other,A,descent,4724,10821.190000000022,1160.0599999999993,4357400.000000001,2019-02-01
NETWORK,ECAC,2019,2,other,O,descent,1243,2941.210000000001,290.1199999999999,1089100.0,2019-02-01
NETWORK,ECAC,2019,2,other,D,climb,4629,50396.25000000005,1902.4099999999987,7143100.000000007,2019-02-01
NETWORK,ECAC,2019,2,other,I,climb,29376,118698.75000000028,7379.460000000108,27732699.99999996,2019-02-01
NETWORK,ECAC,2019,2,other,A,climb,4724,5884.449999999997,481.4000000000002,1806900.0,2019-02-01
NETWORK,ECAC,2019,2,other,O,climb,1243,12563.01,421.16,1579199.9999999998,2019-02-01
NETWORK,ECAC,2019,2,other,I,taxi-in,29376,1840.089999999984,368.3499999999971,1398199.9999999984,2019-02-01
NETWORK,ECAC,2019,2,other,A,taxi-in,4724,809.4599999999983,152.89000000000033,575700.0000000001,2019-02-01
NETWORK,ECAC,2019,2,other,D,taxi-in,4629,0.19,0.04,100.0,2019-02-01
NETWORK,ECAC,2019,2,other,I,taxi-out,29376,6038.530000000327,1675.239999999808,6351800.000000132,2019-02-01
NETWORK,ECAC,2019,2,other,D,taxi-out,4629,3012.7500000000005,626.0499999999985,2350700.0000000023,2019-02-01
NETWORK,ECAC,2019,2,other,A,taxi-out,4724,157.95000000000013,98.96000000000006,371500.0,2019-02-01
NETWORK,ECAC,2019,2,other,O,taxi-out,1243,186.2600000000001,43.24999999999995,163300.0,2019-02-01
NETWORK,ECAC,2019,2,regional,I,cruise,108773,951882.3399999976,107530.04999999964,403308500.0000021,2019-02-01
NETWORK,ECAC,2019,2,regional,D,cruise,1996,34091.11999999997,3235.529999999999,12138599.999999985,2019-02-01
NETWORK,ECAC,2019,2,regional,A,cruise,1982,19009.630000000005,2244.039999999998,8419000.000000011,2019-02-01
NETWORK,ECAC,2019,2,regional,O,cruise,333,1571.8099999999995,179.36000000000004,673000.0,2019-02-01
NETWORK,ECAC,2019,2,regional,D,descent,1996,56.34,6.659999999999998,25000.0,2019-02-01
